District Name	District Code	First Language Not English #	First Language Not English %	English Language Learner #	English Language Learner %	Students With Disabilities #	Students With Disabilities %	High Needs #	High Needs #	Economically Disadvantaged #	Economically Disadvantaged %
Abby Kelley Foster Charter Public (District)	04450000	910	63.7000007629	141	9.8999996185	171	12	803	56.2000007629	538	37.7000007629
Abington	00010000	214	10.3999996185	102	5	331	15.9	741	35.5999984741	449	21.7999992371
Academy Of the Pacific Rim Charter Public (District)	04120000	157	29.7999992371	62	11.8000001907	125	23.8	342	65	201	38.2000007629
Acton-Boxborough	06000000	1035	18.6000003815	228	4.0999999046	904	16	1531	27.1000003815	345	6.1999998093
Acushnet	00030000	10	1	8	0.8000000119	145	14.2	356	34.7999992371	250	24.8999996185
Adams-Cheshire	06030000	11	0.8999999762	7	0.6000000238	279	24	672	57.7999992371	573	49.4000015259
Advanced Math and Science Academy Charter (District)	04300000	232	23.7999992371	44	4.5	58	6	214	22	64	6.5999999046
Agawam	00050000	400	10.6999998093	187	5	625	16.5	1580	41.7999992371	1087	29
Alma del Mar Charter School (District)	04090000	189	42.9000015259	107	24.2999992371	83	18.8	348	78.9000015259	273	61.9000015259
Amesbury	00070000	74	3.5999999046	34	1.7000000477	440	21	774	36.9000015259	473	23
Amherst	00080000	344	30.3999996185	180	15.8999996185	235	20.8	555	49.0999984741	358	31.7000007629
Amherst-Pelham	06050000	239	17.7999992371	83	6.1999998093	293	21.7	550	40.7000007629	330	24.6000003815
Andover	00090000	870	14.6000003815	224	3.7999999523	1205	19.9	1774	29.2999992371	449	7.5
Argosy Collegiate Charter School (District)	35090000	178	38.2000007629	159	34.0999984741	98	21	341	73.1999969482	261	56
Arlington	00100000	712	12	256	4.3000001907	936	15.5	1561	25.8999996185	448	7.5
Ashburnham-Westminster	06100000	84	3.5999999046	30	1.2999999523	430	18.2	725	30.7000007629	373	15.8000001907
Ashland	00140000	647	22.7000007629	153	5.4000000954	475	16.5	912	31.7000007629	371	13
Assabet Valley Regional Vocational Technical	08010000	177	15.6000003815	43	3.7999999523	315	27.8	561	49.5	283	25
Athol-Royalston	06150000	46	3.2000000477	29	2	384	26	894	60.4000015259	708	48.7000007629
Atlantis Charter (District)	04910000	274	21.2000007629	136	10.5	179	13.8	707	54.5999984741	538	41.5999984741
Attleboro	00160000	809	13.6000003815	351	5.9000000954	995	16.6	2671	44.5999984741	1804	30.2999992371
Auburn	00170000	190	7.1999998093	86	3.2999999523	259	9.8	758	28.7000007629	483	18.3999996185
Avon	00180000	51	7	22	3	115	15.6	319	43.4000015259	215	29.5
Ayer Shirley School District	06160000	138	8.1000003815	64	3.7000000477	334	19.1	704	40.2999992371	427	24.8999996185
Barnstable	00200000	950	19.7999992371	486	10.1000003815	816	16.9	2380	49.2999992371	1529	31.8999996185
Barnstable Community Horace Mann Charter Public (District)	04270000	134	46.2000007629	73	25.2000007629	27	9.3	173	59.7000007629	121	41.7000007629
Baystate Academy Charter Public School (District)	35020000	107	21.3999996185	65	13	101	20.2	388	77.5999984741	349	69.8000030518
Bedford	00230000	485	18.2000007629	176	6.5999999046	450	16.6	840	31	231	8.6999998093
Belchertown	00240000	42	1.8999999762	21	0.8999999762	438	19.1	733	32	408	18
Bellingham	00250000	94	4.1999998093	36	1.6000000238	434	19.3	783	34.7000007629	423	19
Belmont	00260000	1124	24.2999992371	361	7.8000001907	498	10.6	1265	26.7999992371	328	7.0999999046
Benjamin Banneker Charter Public (District)	04200000	90	25.3999996185	19	5.4000000954	53	15	197	55.5999984741	161	45.5
Benjamin Franklin Classical Charter Public (District)	04470000	89	19.3999996185	26	5.6999998093	55	12	120	26.1000003815	34	7.4000000954
Bentley Academy Charter School (District)	35110000	142	41.9000015259	81	23.8999996185	47	13.9	263	77.5999984741	227	67
Berkley	00270000	8	0.8999999762	8	0.8999999762	125	14	252	28.2999992371	153	17.2000007629
Berkshire Arts and Technology Charter Public (District)	04140000	6	1.6000000238	3	0.8000000119	87	23	202	53.4000015259	156	41.2999992371
Berkshire Hills	06180000	95	7.9000000954	39	3.2000000477	223	18.3	501	41.2000007629	349	29
Berlin	00280000	16	8.6999998093	6	3.2999999523	23	12.5	49	26.6000003815	28	15.3000001907
Berlin-Boylston	06200000	43	7.4000000954	10	1.7000000477	109	18.4	168	28.2999992371	71	12.1999998093
Beverly	00300000	382	8.3999996185	166	3.5999999046	983	21	1898	40.5999984741	1160	25.3999996185
Billerica	00310000	407	8.5	70	1.5	821	17	1451	30.1000003815	742	15.6000003815
Blackstone Valley Regional Vocational Technical	08050000	11	0.8999999762	2	0.200000003	117	9.5	226	18.3999996185	120	9.8000001907
Blackstone-Millville	06220000	118	6.9000000954	40	2.4000000954	292	17	621	36.0999984741	374	22
Blue Hills Regional Vocational Technical	08060000	92	10.6999998093	6	0.6999999881	213	24.9	387	45.2000007629	201	23.5
Boston	00350000	24824	48.2999992371	16509	32.0999984741	10529	20.3	39484	76.1999969482	29049	56.5
Boston Collegiate Charter (District)	04490000	90	13	28	4	126	18.2	336	48.5	197	28.3999996185
Boston Day and Evening Academy Charter (District)	04240000	111	26.3999996185	53	12.6000003815	115	27.3	319	75.8000030518	255	60.5999984741
Boston Green Academy Horace Mann Charter School (District)	04110000	174	36.5999984741	74	15.5	145	30.5	382	80.3000030518	290	60.9000015259
Boston Preparatory Charter Public (District)	04160000	165	31.3999996185	118	22.3999996185	108	20.5	365	69.4000015259	233	44.2999992371
Boston Renaissance Charter Public (District)	04810000	219	23	121	12.6999998093	108	11.3	606	63.5	481	50.4000015259
Bourne	00360000	22	1.1000000238	13	0.6999999881	338	17.3	747	38.2999992371	511	26.3999996185
Boxford	00380000	6	0.8000000119	5	0.6999999881	132	18.3	158	21.8999996185	29	4
Boylston	00390000	30	10.1000003815	9	3	44	14.7	73	24.3999996185	25	8.3999996185
Braintree	00400000	985	16.8999996185	338	5.8000001907	1195	20.2	2318	39.2999992371	1047	17.8999996185
Brewster	00410000	20	4.1999998093	13	2.7000000477	95	19.7	175	36.2999992371	108	22.6000003815
Bridge Boston Charter School (District)	04170000	146	43.0999984741	90	26.5	75	22.1	270	79.5999984741	201	59.2999992371
Bridgewater-Raynham	06250000	147	2.7000000477	82	1.5	878	16.2	1575	29	863	16.1000003815
Brimfield	00430000	0	0	0	0	50	16.9	97	32.9000015259	60	20.5
Bristol County Agricultural	09100000	0	0	0	0	60	13.2	153	33.7000007629	108	23.7999992371
Bristol-Plymouth Regional Vocational Technical	08100000	34	2.5999999046	3	0.200000003	214	16.6	480	37.2999992371	318	24.7000007629
Brockton	00440000	7046	43.0999984741	4151	25.3999996185	2627	16	11755	71.5	8821	54
Brooke Charter School (District)	04280000	344	18.6000003815	127	6.9000000954	191	10.3	1100	59.4000015259	847	45.7000007629
Brookfield	00450000	3	0.8999999762	0	0	44	13.9	123	38.9000015259	96	30.3999996185
Brookline	00460000	2500	31.7999992371	867	11	1248	15.8	2824	35.7000007629	728	9.3000001907
Burlington	00480000	648	18.2999992371	148	4.1999998093	495	13.7	1007	27.7999992371	403	11.3999996185
Cambridge	00490000	1926	27.2999992371	563	8	1590	22.1	3430	47.5999984741	2014	28.6000003815
Canton	00500000	196	6	79	2.4000000954	381	11.5	837	25.2000007629	429	13.1000003815
Cape Cod Lighthouse Charter (District)	04320000	4	1.7000000477	1	0.400000006	38	15.7	73	30.2000007629	40	16.5
Cape Cod Regional Vocational Technical	08150000	26	4.5999999046	15	2.5999999046	183	32	350	61.2999992371	223	39.0999984741
Carlisle	00510000	42	7	14	2.2999999523	95	15.6	134	22	19	3.2000000477
Carver	00520000	21	1.3999999762	20	1.2999999523	301	19.1	562	35.7000007629	340	21.8999996185
Central Berkshire	06350000	12	0.8000000119	4	0.3000000119	244	15.4	621	39.0999984741	482	30.5
Chelmsford	00560000	743	15	180	3.5999999046	855	16.9	1515	30	606	12.1999998093
Chelsea	00570000	5015	82.4000015259	2303	37.7999992371	1006	16.1	5120	82.0999984741	3808	62.5
Chesterfield-Goshen	06320000	1	0.8000000119	0	0	37	28.7	60	46.5	31	24
Chicopee	00610000	1026	13.8999996185	447	6	1364	18.4	4501	60.7000007629	3859	52.2000007629
Christa McAuliffe Charter Public (District)	04180000	22	5.5	12	3	92	23.1	167	42	84	21.1000003815
City on a Hill Charter Public School Circuit Street (District)	04370000	72	26.6000003815	38	14	55	20.3	199	73.4000015259	153	56.5
City on a Hill Charter Public School Dudley Square (District)	35040000	98	40	54	22	60	24.5	196	80	137	55.9000015259
City on a Hill Charter Public School New Bedford (District)	35070000	111	51.2000007629	46	21.2000007629	69	31.8	178	82	146	67.3000030518
Clarksburg	00630000	0	0	0	0	44	23.5	88	47.0999984741	57	30.7999992371
Clinton	00640000	435	23.3999996185	177	9.5	401	21.2	998	52.7000007629	671	36.0999984741
Codman Academy Charter Public (District)	04380000	41	12	20	5.8000001907	61	17.8	232	67.8000030518	184	53.7999992371
Cohasset	00650000	11	0.6999999881	3	0.200000003	212	13.5	284	18	81	5.1999998093
Collegiate Charter School of Lowell (District)	35030000	191	22.6000003815	191	22.6000003815	76	9	525	62.0999984741	342	40.4000015259
Community Charter School of Cambridge (District)	04360000	133	40.0999984741	13	3.9000000954	50	15.1	156	47	108	32.5
Community Day Charter Public School - Gateway (District)	04260000	246	68.3000030518	87	24.2000007629	37	10.3	290	80.5999984741	181	50.2999992371
Community Day Charter Public School - Prospect (District)	04400000	279	69.9000015259	123	30.7999992371	53	13.3	315	78.9000015259	191	47.9000015259
Community Day Charter Public School - R. Kingman Webster (District)	04310000	215	59.7000007629	106	29.3999996185	31	8.6	271	75.3000030518	178	49.4000015259
Concord	00670000	157	7.5	60	2.9000000954	401	18.8	577	27.1000003815	140	6.6999998093
Concord-Carlisle	06400000	69	5.4000000954	7	0.5	238	18.1	303	23	74	5.8000001907
Conservatory Lab Charter (District)	04390000	74	16.7999992371	67	15.1999998093	49	11.1	286	64.9000015259	215	48.7999992371
Conway	00680000	0	0	0	0	22	16.3	46	34.0999984741	33	24.3999996185
Danvers	00710000	117	3.4000000954	37	1.1000000238	586	16.6	1041	29.3999996185	554	15.8999996185
Dartmouth	00720000	128	3.5	85	2.2999999523	560	15.3	1249	34.0999984741	801	22.1000003815
Dedham	00730000	401	14.8999996185	197	7.3000001907	634	23.2	1157	42.4000015259	619	23
Deerfield	00740000	9	2.2999999523	5	1.2999999523	81	20.7	135	34.4000015259	76	19.3999996185
Dennis-Yarmouth	06450000	541	17.8999996185	287	9.5	598	19.5	1713	55.9000015259	1208	39.9000015259
Dighton-Rehoboth	06500000	31	1.1000000238	7	0.200000003	462	15.8	818	28	459	15.8000001907
Douglas	00770000	8	0.6000000238	7	0.5	238	18.2	387	29.6000003815	199	15.3999996185
Dover	00780000	29	5.8000001907	16	3.2000000477	66	13.1	99	19.7000007629	10	2
Dover-Sherborn	06550000	57	4.8000001907	4	0.3000000119	214	17.5	259	21.2000007629	46	3.7999999523
Dracut	00790000	144	4	57	1.6000000238	602	16.6	1297	35.7000007629	783	21.8999996185
Dudley Street Neighborhood Charter School (District)	04070000	84	32.7999992371	65	25.3999996185	24	9.4	191	74.5999984741	151	59
Dudley-Charlton Reg	06580000	271	7.0999999046	92	2.4000000954	570	14.9	1262	32.9000015259	799	21
Duxbury	00820000	50	1.7000000477	9	0.3000000119	466	15.3	597	19.6000003815	158	5.1999998093
East Bridgewater	00830000	29	1.2999999523	18	0.8000000119	434	19.1	747	32.9000015259	408	18.1000003815
East Longmeadow	00870000	200	7.5999999046	53	2	492	18.4	933	34.9000015259	507	19.2999992371
Eastham	00850000	15	8.8000001907	8	4.6999998093	35	20.5	73	42.7000007629	46	26.8999996185
Easthampton	00860000	96	6.1999998093	45	2.9000000954	323	20.6	652	41.5	446	28.8999996185
Easton	00880000	181	5	67	1.7999999523	673	18.3	1047	28.3999996185	468	12.8999996185
Edgartown	00890000	124	33.5	80	21.6000003815	84	22.7	209	56.5	107	28.8999996185
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)	04520000	212	55.4000015259	66	17.2000007629	64	16.7	283	73.9000015259	211	55.0999984741
Erving	00910000	2	1.6000000238	2	1.6000000238	23	17.8	50	38.7999992371	33	25.7999992371
Essex North Shore Agricultural and Technical School District	08170000	105	7.4000000954	2	0.1000000015	250	17.7	462	32.7000007629	243	17.2000007629
Everett	00930000	4627	65.0999984741	1779	25	1277	17.8	5107	71	3415	48.0999984741
Excel Academy Charter (District)	04100000	805	62.0999984741	155	12	255	19.7	883	68.0999984741	550	42.4000015259
Fairhaven	00940000	75	3.7000000477	32	1.6000000238	334	16.3	796	38.9000015259	570	28.1000003815
Fall River	00950000	2605	25.7000007629	1659	16.3999996185	2180	21.2	7838	76.4000015259	6792	67.0999984741
Falmouth	00960000	226	6.6999998093	115	3.4000000954	586	17.3	1368	40.4000015259	953	28.3999996185
Farmington River Reg	06620000	0	0	0	0	28	23.9	61	52.0999984741	47	40.9000015259
Fitchburg	00970000	1868	34.7999992371	839	15.6000003815	1326	24.2	3970	72.4000015259	3264	60.9000015259
Florida	00980000	0	0	0	0	26	29.9	44	50.5999984741	24	27.6000003815
Four Rivers Charter Public (District)	04130000	5	2.2999999523	0	0	29	13.2	76	34.7000007629	53	24.2000007629
Foxborough	00990000	94	3.7000000477	65	2.5	504	19.5	793	30.7000007629	394	15.3999996185
Foxborough Regional Charter (District)	04460000	325	19.8999996185	151	9.3000001907	146	9	651	39.9000015259	349	21.3999996185
Framingham	01000000	3971	45	1976	22.3999996185	2076	22.9	5305	58.5999984741	2911	33
Francis W. Parker Charter Essential (District)	04780000	8	2	0	0	55	13.9	79	19.8999996185	28	7.0999999046
Franklin	01010000	281	5.4000000954	82	1.6000000238	995	18.9	1401	26.6000003815	502	9.6999998093
Franklin County Regional Vocational Technical	08180000	0	0	0	0	163	33	273	55.2999992371	171	34.5999984741
Freetown-Lakeville	06650000	36	1.2999999523	17	0.6000000238	438	15.4	815	28.6000003815	482	17.2000007629
Frontier	06700000	18	2.7999999523	5	0.8000000119	133	20.2	217	33	115	17.7999992371
Gardner	01030000	207	9	101	4.4000000954	495	21.4	1462	63.2000007629	1215	53.0999984741
Gateway	06720000	31	3.7999999523	22	2.7000000477	165	19.9	354	42.7999992371	256	31
Georgetown	01050000	17	1.2000000477	3	0.200000003	159	11.2	260	18.2999992371	123	8.8000001907
Gill-Montague	06740000	73	7.8000001907	45	4.8000001907	229	24.2	562	59.4000015259	443	47.4000015259
Global Learning Charter Public (District)	04960000	169	33.5	50	9.8999996185	72	14.3	345	68.3000030518	270	53.5
Gloucester	01070000	271	9.3999996185	178	6.1999998093	776	26.4	1552	52.7999992371	1019	35.2999992371
Gosnold	01090000										
Grafton	01100000	94	3	47	1.5	604	18.9	905	28.2999992371	376	11.8000001907
Granby	01110000	50	6.9000000954	32	4.4000000954	131	17.8	272	36.9000015259	182	25
Greater Fall River Regional Vocational Technical	08210000	91	6.4000000954	22	1.6000000238	160	11.3	612	43.2999992371	502	35.5
Greater Lawrence Regional Vocational Technical	08230000	714	45.2999992371	204	12.8999996185	315	20	1105	70.0999984741	786	49.9000015259
Greater Lowell Regional Vocational Technical	08280000	577	25.6000003815	169	7.5	422	18.7	1417	62.7999992371	974	43.2000007629
Greater New Bedford Regional Vocational Technical	08250000	460	21.5	71	3.2999999523	232	10.8	1003	46.9000015259	811	37.9000015259
Greenfield	01140000	173	10	102	5.9000000954	317	18	1003	57	856	49.4000015259
Greenfield Commonwealth Virtual District	39010000	25	4.1999998093	1	0.200000003	125	21.2	340	57.5999984741	286	48.5
Groton-Dunstable	06730000	57	2.4000000954	25	1	414	17.1	558	23	171	7.0999999046
Hadley	01170000	39	7.3000001907	27	5	81	14.9	156	28.7999992371	93	17.3999996185
Halifax	01180000	8	1.2999999523	6	1	103	16.5	193	31	100	16.3999996185
Hamilton-Wenham	06750000	23	1.2999999523	8	0.5	319	17.6	417	23	126	7.0999999046
Hampden Charter School of Science East (District)	04990000	25	4.9000000954	19	3.7000000477	48	9.4	261	51.4000015259	219	43.0999984741
Hampden Charter School of Science West (District)	35160000	26	12.3999996185	26	12.3999996185	36	17.2	127	60.7999992371	92	44
Hampden-Wilbraham	06800000	84	2.7000000477	29	0.8999999762	426	13.8	783	25.3999996185	459	15
Hampshire	06830000	25	3.5	9	1.2999999523	153	21	226	31	106	14.6999998093
Hancock	01210000	0	0	0	0	4	11.8	10	29.3999996185	8	23.5
Hanover	01220000	78	2.9000000954	25	0.8999999762	474	17.8	663	24.8999996185	221	8.3999996185
Harvard	01250000	52	4.9000000954	15	1.3999999762	121	11.2	189	17.5	50	4.6999998093
Hatfield	01270000	3	0.6999999881	0	0	79	18	126	28.6000003815	61	14
Haverhill	01280000	1364	17	768	9.5	1861	22.9	4839	59.7000007629	3661	45.5
Hawlemont	06850000	2	1.2999999523	0	0	34	22.4	84	55.2999992371	70	46.4000015259
Helen Y. Davis Leadership Academy Charter Public (District)	04190000	21	11	17	8.8999996185	50	26.2	142	74.3000030518	120	62.7999992371
Hill View Montessori Charter Public (District)	04550000	36	11.8000001907	33	10.8999996185	50	16.4	114	37.5	51	16.7999992371
Hilltown Cooperative Charter Public (District)	04500000	2	0.8999999762	0	0	41	18.9	62	28.6000003815	33	15.1999998093
Hingham	01310000	61	1.3999999762	12	0.3000000119	558	13	717	16.7000007629	198	4.6999998093
Holbrook	01330000	231	18.2999992371	93	7.4000000954	278	21.4	660	50.7999992371	396	31.5
Holland	01350000	0	0	0	0	32	14.2	89	39.4000015259	72	31.8999996185
Holliston	01360000	265	9.1999998093	64	2.2000000477	484	16.6	710	24.2999992371	195	6.6999998093
Holyoke	01370000	2237	42.7000007629	1172	22.3999996185	1318	24.8	4457	83.8000030518	4077	77.8000030518
Holyoke Community Charter (District)	04530000	195	27.7000007629	106	15.1000003815	135	19.2	540	76.6999969482	479	68
Hopedale	01380000	56	5.1999998093	21	1.8999999762	236	21.3	323	29.2000007629	118	10.8999996185
Hopkinton	01390000	362	9.8000001907	199	5.4000000954	464	12.5	815	21.8999996185	167	4.5
Hudson	01410000	584	23	243	9.6000003815	433	16.7	1008	38.9000015259	528	20.7999992371
Hull	01420000	11	1.2000000477	3	0.3000000119	197	21.6	397	43.5999984741	270	30.3999996185
Innovation Academy Charter (District)	04350000	57	7.1999998093	14	1.7999999523	157	19.7	255	32	90	11.3000001907
Ipswich	01440000	85	5	43	2.5	298	17.2	488	28.2000007629	234	13.6999998093
King Philip	06900000	45	2.2000000477	15	0.6999999881	342	16.4	477	22.8999996185	178	8.8000001907
Kingston	01450000	25	2.4000000954	21	2	186	17.4	339	31.7999992371	176	16.8999996185
KIPP Academy Boston Charter School (District)	04630000	308	51.9000015259	165	27.7999992371	121	20.4	496	83.5	376	63.2999992371
KIPP Academy Lynn Charter (District)	04290000	1093	75.0999984741	276	19	186	12.8	1037	71.1999969482	716	49.2000007629
Lawrence	01490000	9851	72.0999984741	4908	35.9000015259	2639	19.2	11626	84.4000015259	8645	63.2999992371
Lawrence Family Development Charter (District)	04540000	601	79.0999984741	213	28	58	7.6	568	74.6999969482	416	54.7000007629
Lee	01500000	48	6.8000001907	31	4.4000000954	85	12.1	307	43.5	238	33.9000015259
Leicester	01510000	100	6.5	41	2.7000000477	271	17.4	600	38.5999984741	395	25.7000007629
Lenox	01520000	58	7.6999998093	18	2.4000000954	78	10.3	198	26.1000003815	121	16
Leominster	01530000	1544	25.6000003815	718	11.8999996185	1385	22.7	3397	55.5999984741	2327	38.5999984741
Leverett	01540000	2	1.5	0	0	17	12.6	41	30.3999996185	31	23
Lexington	01550000	2234	30.7999992371	636	8.8000001907	1036	14.1	2188	29.7000007629	394	5.4000000954
Libertas Academy Charter School (District)	35140000	63	35.4000015259	44	24.7000007629	46	25.8	158	88.8000030518	147	82.5999984741
Lincoln	01570000	98	8.1999998093	60	5	254	20.8	355	29.1000003815	67	5.5999999046
Lincoln-Sudbury	06950000	44	2.9000000954	7	0.5	315	19.9	390	24.7000007629	97	6.3000001907
Littleton	01580000	90	5.4000000954	34	2.0999999046	298	17.7	424	25.1000003815	114	6.9000000954
Longmeadow	01590000	158	5.5	22	0.8000000119	538	18.5	715	24.6000003815	201	7
Lowell	01600000	4161	28.6000003815	3441	23.7000007629	2543	17.3	10612	72.4000015259	7823	53.7999992371
Lowell Community Charter Public (District)	04560000	600	73.1999969482	442	53.9000015259	140	17.1	645	78.6999969482	382	46.5999984741
Lowell Middlesex Academy Charter (District)	04580000	10	12.1999998093	8	9.8000001907	23	28	57	69.5	48	58.5
Ludlow	01610000	222	8.6000003815	74	2.9000000954	412	15.7	1007	38.5	711	27.3999996185
Lunenburg	01620000	53	3.2000000477	24	1.5	277	16.7	490	29.5	276	16.7000007629
Lynn	01630000	8598	54.5999984741	3934	25	2628	16.5	11725	73.6999969482	8936	56.7000007629
